Id,OrderNumber,AccountId,InstrumentId,Volume,OpenDate,OpenPrice,Swap,TakeProfit,StopLoss,Margin,IsBuy,Commission,CurrentPrice,Profit,TradeVolume,TotalProfit,ClientType
185496,185496,117768,8603,2.00000000,2020-01-16 15:42:09.617,13421.75000000,0.00000000,13385.00000000,13610.00000000,298.77620805,0,0.00000000,13528.35000000,-237.17007600,30092.19117300,-237.17007600,5
185535,185535,117768,8603,2.00000000,2020-01-17 08:39:11.270,13526.75000000,0.00000000,0.00000000,0.00000000,301.23531180,0,0.00000000,13528.35000000,-3.55977600,30092.19117300,-3.55977600,5
38990,38990,118753,7134,0.03000000,2018-11-12 14:05:34.183,112.87100000,-38.74994003,0.00000000,0.00000000,13.19424970,1,0.00000000,114.00900000,27.86031607,3104.33675845,-10.88962395,4
38371,38371,118916,9289,1.00000000,2018-11-09 10:55:23.583,4.92200000,0.00000000,0.00000000,0.00000000,1.11696915,1,0.00000000,4.80400000,-0.13124904,5.34368136,-0.13124904,4
38388,38388,118916,9281,0.01000000,2018-11-09 11:53:16.860,0.72829000,0.00000000,0.00000000,0.00000000,3.62095000,0,0.00000000,0.66715000,63.26638313,690.35000000,63.26638313,4
39407,39407,118916,9319,0.02000000,2018-11-09 13:18:22.883,1.14115000,0.00000000,0.00000000,0.00000000,11.25430000,0,0.00000000,1.07496000,136.98403336,2224.56000000,136.98403336,0
109742,109742,120236,8515,0.01000000,2019-04-01 23:19:10.257,1.83789000,2.21418268,0.00000000,0.00000000,6.53530000,0,0.00000000,1.89035000,-36.22572840,1304.92000000,-34.01154571,3
148111,148111,120956,8608,1.00000000,2019-06-28 02:36:11.627,114.79000000,-0.02322900,0.00000000,0.00000000,22.95800000,1,0.00000000,58.56000000,-56.23000000,58.56000000,-56.25322900,5
182422,182422,121290,10059,0.10000000,2019-12-02 15:42:47.143,109.27700000,0.00000000,0.00000000,0.00000000,50.00000000,1,0.00000000,110.16700000,80.78644240,10000.00000000,80.78644240,4
182824,182824,121290,10075,0.10000000,2019-12-04 15:00:27.543,1476.52000000,0.00000000,0.00000000,0.00000000,147.65200000,1,0.00000000,1554.62000000,781.00000000,15546.20000000,781.00000000,4
183324,183324,121290,10075,0.20000000,2019-12-10 16:11:05.577,1462.65000000,0.00000000,0.00000000,0.00000000,292.52200000,0,0.00000000,1555.31000000,-1853.20000000,31106.20000000,-1853.20000000,2
183326,183326,121290,10075,0.20000000,2019-12-10 16:11:05.593,1462.65000000,0.00000000,0.00000000,0.00000000,292.52200000,0,0.00000000,1555.31000000,-1853.20000000,31106.20000000,-1853.20000000,2
